GalaxyID,Length Cut,ChiSq Cut,M_b Cut,Bulge Cut
NGC5371,pass,fail,pass,pass
UGC05829,pass,pass,fail,pass
NGC5005,pass,pass,pass,fail
UGCA444,pass,pass,fail,pass
NGC1003,pass,pass,pass,pass
UGC07559,fail,pass,fail,pass
NGC0100,pass,pass,pass,pass
UGC07261,fail,pass,pass,pass
NGC6195,pass,fail,pass,fail
UGC01281,pass,pass,fail,pass
UGC05414,fail,pass,fail,pass
UGC08837,pass,pass,fail,pass
UGC11820,pass,pass,fail,pass
UGC06667,pass,pass,fail,pass
NGC4183,pass,pass,pass,pass
UGC08699,pass,fail,pass,fail
F583-4,pass,pass,pass,pass
UGC07399,pass,pass,fail,pass
NGC2841,pass,fail,pass,fail
F567-2,fail,pass,fail,pass
NGC2403,pass,pass,pass,pass
NGC4010,pass,pass,fail,pass
F574-1,pass,pass,fail,pass
NGC0300,pass,pass,pass,pass
NGC3741,pass,pass,fail,pass
NGC4214,pass,pass,pass,pass
PGC51017,fail,pass,pass,pass
CamB,pass,pass,fail,pass
UGC07866,fail,pass,fail,pass
F574-2,fail,pass,fail,pass
NGC2915,pass,pass,pass,pass
UGC08490,pass,pass,pass,pass
UGC07524,pass,pass,fail,pass
UGC05721,pass,pass,pass,pass
ESO563-G021,pass,fail,pass,pass
UGC00191,pass,pass,fail,pass
ESO116-G012,pass,pass,pass,pass
NGC3521,pass,fail,pass,pass
NGC5985,pass,pass,fail,fail
UGC05918,pass,pass,fail,pass
UGC06930,pass,pass,fail,pass
NGC1090,pass,pass,pass,pass
UGC07323,pass,pass,fail,pass
UGC07125,pass,pass,fail,pass
UGC02259,pass,pass,fail,pass
NGC3893,pass,pass,pass,pass
NGC3726,pass,fail,pass,pass
NGC2366,pass,pass,fail,pass
UGC04325,pass,pass,fail,pass
UGC12506,pass,pass,pass,pass
UGC11455,pass,fail,pass,pass
NGC1705,pass,pass,pass,pass
F563-V1,fail,pass,fail,pass
F561-1,fail,pass,fail,pass
UGC06818,pass,pass,pass,pass
UGC07089,pass,pass,fail,pass
UGC05253,pass,pass,pass,fail
UGC04305,pass,pass,fail,pass
UGC06446,pass,pass,fail,pass
NGC3953,pass,pass,fail,pass
NGC6789,fail,pass,fail,pass
UGC07232,fail,pass,fail,pass
UGC03546,pass,fail,pass,fail
NGC6503,pass,fail,pass,pass
UGC05005,pass,pass,fail,pass
UGC07690,fail,pass,pass,pass
UGC00634,fail,pass,pass,pass
DDO154,pass,pass,pass,pass
UGC07603,pass,pass,pass,pass
NGC3992,pass,fail,pass,pass
NGC4088,pass,fail,pass,pass
F579-V1,pass,pass,fail,pass
ESO444-G084,fail,pass,pass,pass
F565-V2,fail,pass,fail,pass
UGC10310,fail,pass,fail,pass
NGC5055,pass,pass,pass,pass
NGC0801,pass,pass,pass,pass
F563-1,pass,pass,fail,pass
NGC6946,pass,fail,pass,fail
UGC06614,pass,pass,pass,fail
NGC3769,pass,pass,pass,pass
NGC3917,pass,pass,fail,pass
UGC05999,fail,pass,fail,pass
NGC4085,fail,pass,pass,pass
NGC3198,pass,fail,pass,pass
F568-3,pass,pass,fail,pass
NGC5033,pass,fail,pass,fail
UGC11557,pass,pass,fail,pass
UGC02885,pass,pass,pass,fail
KK98-251,pass,pass,fail,pass
NGC5907,pass,fail,pass,pass
UGC06917,pass,pass,fail,pass
UGC09992,fail,pass,fail,pass
UGC04499,pass,pass,fail,pass
NGC0289,pass,fail,pass,pass
UGC06983,pass,pass,fail,pass
UGC06973,pass,pass,pass,fail
UGC02487,pass,fail,pass,fail
UGC09037,pass,pass,pass,pass
NGC4051,fail,fail,fail,pass
F571-8,pass,pass,pass,pass
D564-8,fail,pass,pass,pass
UGC00891,fail,pass,fail,pass
NGC2998,pass,pass,pass,pass
NGC0055,pass,pass,fail,pass
NGC2683,pass,fail,pass,fail
UGC12632,pass,pass,fail,pass
F563-V2,pass,pass,fail,pass
NGC5585,pass,pass,pass,pass
NGC2976,pass,pass,fail,pass
NGC7814,pass,pass,pass,fail
UGC05716,pass,pass,fail,pass
F571-V1,fail,pass,fail,pass
F583-1,pass,pass,fail,pass
UGC11914,pass,pass,pass,fail
NGC0891,pass,fail,pass,fail
DDO170,pass,pass,fail,pass
F568-V1,pass,pass,fail,pass
ESO079-G014,pass,pass,fail,pass
UGC06787,pass,fail,pass,fail
D631-7,pass,pass,pass,pass
NGC2955,pass,pass,pass,fail
UGC03580,pass,pass,pass,fail
NGC4100,pass,fail,pass,pass
UGC06786,pass,fail,pass,fail
UGC00128,pass,pass,fail,pass
NGC4068,fail,pass,fail,pass
UGC00731,pass,pass,fail,pass
UGC07608,pass,pass,fail,pass
UGC05750,pass,pass,fail,pass
UGCA442,pass,pass,fail,pass
UGC04278,pass,pass,fail,pass
UGC07151,pass,pass,fail,pass
NGC3972,pass,pass,fail,pass
F568-1,pass,pass,fail,pass
NGC7793,pass,pass,fail,pass
NGC3877,pass,pass,fail,pass
NGC6674,pass,fail,pass,fail
NGC6015,pass,fail,pass,pass
UGC12732,pass,pass,fail,pass
DDO168,pass,pass,pass,pass
NGC2903,pass,fail,pass,pass
UGC02455,pass,pass,pass,pass
UGC02023,fail,pass,fail,pass
DDO064,pass,pass,fail,pass
UGC05986,pass,pass,pass,pass
UGCA281,fail,pass,pass,pass
UGC06399,pass,pass,fail,pass
UGC09133,pass,fail,pass,fail
NGC0024,pass,pass,pass,pass
UGC08550,pass,pass,pass,pass
UGC02953,pass,fail,pass,fail
NGC4138,fail,pass,pass,fail
NGC0247,pass,pass,fail,pass
IC4202,pass,fail,fail,fail
UGC08286,pass,pass,fail,pass
IC2574,pass,pass,fail,pass
NGC4559,pass,pass,pass,pass
UGC01230,pass,pass,fail,pass
UGC07577,pass,pass,fail,pass
UGC06628,fail,pass,fail,pass
NGC4013,pass,fail,pass,fail
UGC03205,pass,fail,pass,fail
NGC7331,pass,fail,pass,fail
