GalaxyID,Gamma_disk,Error_disk,Gamma_bulge,Error_bulge
NGC5371,0.420033856240666,0.20556765480220246,0.0,0.0
UGC05829,0.5089595449146526,0.04075363366016569,0.0,0.0
NGC5005,0.5194002562586241,0.055582857313538424,0.5637818345246758,0.03613070221363753
UGCA444,0.49105914688711805,0.04357619303961933,0.0,0.0
NGC1003,0.6953538206168478,0.05621384833131985,0.0,0.0
UGC07559,0.4778641076020609,0.04691058916958818,0.0,0.0
NGC0100,0.4782175766113932,0.034602440832791924,0.0,0.0
UGC07261,0.5266176357841472,0.07535502122575614,0.0,0.0
NGC6195,0.4121783006872575,0.048776270583482176,0.7668571783924547,0.05516607866379714
UGC01281,0.4959563929295878,0.04435827159099325,0.0,0.0
UGC05414,0.49744685450672604,0.041148893004360275,0.0,0.0
UGC08837,0.4291317515717431,0.05583825086835585,0.0,0.0
UGC11820,0.831342793934641,0.2969646387921607,0.0,0.0
UGC06667,0.5206419994634679,0.05217886247633804,0.0,0.0
NGC4183,0.5538147850521796,0.18983556968314008,0.0,0.0
UGC08699,0.7336475496755286,0.08560015766979498,0.5801541873588559,0.04919693795281278
F583-4,0.5236923480653002,0.055043711076420566,0.0,0.0
UGC07399,0.5483354681012543,0.0849543831182559,0.0,0.0
NGC2841,0.9230730459145101,0.14003495485560302,0.8423902773165537,0.06950057806930166
F567-2,0.5081766753698868,0.04170464902298631,0.0,0.0
NGC2403,0.5551810824252837,0.19395301334843204,0.0,0.0
NGC4010,0.45857926668425214,0.03719032135829365,0.0,0.0
F574-1,0.4955934364205419,0.07817509925393777,0.0,0.0
NGC0300,0.5234574131258022,0.09201383577945399,0.0,0.0
NGC3741,0.5845676883987612,0.09474486745654169,0.0,0.0
NGC4214,0.5177723176031439,0.042632007142889394,0.0,0.0
PGC51017,0.5065775239737098,0.06215420316061732,0.0,0.0
CamB,0.3453665283540802,0.02312327508384736,0.0,0.0
UGC07866,0.5039259385542106,0.05265702991130417,0.0,0.0
F574-2,0.49414560161779586,0.03683926546014608,0.0,0.0
NGC2915,0.42385542168674695,0.033662388175263375,0.0,0.0
UGC08490,0.6757827260813798,0.26248408239516435,0.0,0.0
UGC07524,0.48651895797234357,0.0557086049546139,0.0,0.0
UGC05721,0.5060111033742967,0.057066058403552104,0.0,0.0
ESO563-G021,0.2537249911732099,0.20288601084674615,0.0,0.0
UGC00191,0.6388044859640319,0.25644292322615214,0.0,0.0
ESO116-G012,0.48049309290001657,0.05677452869670676,0.0,0.0
NGC3521,0.4851295916428885,0.04854143339573812,0.0,0.0
NGC5985,0.3055015873461364,0.09089420565463721,0.7231072362018007,0.21296772829315044
UGC05918,0.5032577944058436,0.04185603070669316,0.0,0.0
UGC06930,0.5154888893344629,0.0714537543661216,0.0,0.0
NGC1090,0.49806098379496366,0.09282725381938288,0.0,0.0
UGC07323,0.4978563189275553,0.04360114122708658,0.0,0.0
UGC07125,0.5037500383121631,0.04951517343825456,0.0,0.0
UGC02259,0.4917361628867959,0.15202501858019699,0.0,0.0
NGC3893,0.45316556291390725,0.0338120889199922,0.0,0.0
NGC3726,0.5691354368217029,0.04602039989651699,0.0,0.0
NGC2366,0.3493552425506465,0.03656432565447556,0.0,0.0
UGC04325,0.5053502440670642,0.12963836687230904,0.0,0.0
