GalaxyID,M_b_fit,a_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,ChiSq_bulge
NGC5371,337907068233.6963,10.718281473251343,5220.849666718888,,,
UGC05829,409493564937.1896,99.99999999981185,218.91583342909473,,,
NGC5005,303874503258.0078,7.392095860493523,1667.2292877999591,15023019243.81272,0.40752427123187607,1970.0142077400683
UGCA444,6685525966.759249,13.210223229557668,133.68093046602138,,,
NGC1003,13799186958.135756,3.7168792484075803,364.9234662084087,,,
UGC07559,19481633531.46463,21.253388377277602,1.681912204197376,,,
NGC0100,8586198599.909543,6.534487995132064,165.72517668214505,,,
UGC07261,9000710587.05581,6.453451752154522,61.318589930468086,,,
NGC6195,930311982001.6342,38.44800950454446,4153.621902486657,110526199806.81856,2.2569835250762273,1337.4329660956244
UGC01281,335062278114.22,99.99999951975872,60.51082694983996,,,
UGC05414,40622100971.677895,20.313084549847048,13.601725911774096,,,
UGC08837,455299051028.5454,99.99999999867968,26.999902310606494,,,
UGC11820,19507639510.094692,14.001478019938725,53.00991485541944,,,
UGC06667,290065133758.2669,99.99999999307875,107.50737499339637,,,
NGC4183,37233961514.87181,10.80466051290339,525.8542921255964,,,
UGC08699,71722247690.11429,5.617641465650421,3302.33386207435,11297825248.768074,0.4034741228247329,5352.265603041248
F583-4,15404854560.951998,14.395988080848477,29.57870033660463,,,
UGC07399,4229941668.0158544,3.9244573336196362,6.455096618345268,,,
NGC2841,292983807923.008,6.902331665377753,18971.15848448417,38949917386.3198,0.005571332432968202,0.45629396205769424
F567-2,29379425424.17166,25.142166831566684,26.77069978473981,,,
NGC2403,21042420898.721745,3.9017809866828475,900.7827338677326,,,
NGC4010,81186341329.88873,14.742627965287072,289.2747828495085,,,
F574-1,61072941580.82765,28.323368729652998,42.63798970931604,,,
NGC0300,9620623531.179184,6.836156449543487,93.77727432820578,,,
NGC3741,593681918.3048846,3.4539315359478997,41.161602522010504,,,
NGC4214,1416831573.8275588,0.9441382666025248,151.88910787381167,,,
PGC51017,846466161.590897,2.7251640689498084,9.351196725388265,,,
CamB,926678275.9751575,4.76208780731039,12.244844657057435,,,
UGC07866,37613169735.07689,30.106956922316755,1.1320519648811627,,,
F574-2,343136916281.4668,99.99999995840213,17.58787044997753,,,
NGC2915,924097899.344067,1.0311415843966139,180.83240225967725,,,
UGC08490,2751656436.9682612,1.9335187656653396,53.150180851212056,,,
UGC07524,471494898333.08026,99.99999980883,67.25494511477616,,,
UGC05721,1495091744.5115583,1.451528667549367,80.48312311424,,,
ESO563-G021,360496000972.79,22.130953302445764,2394.836384708234,,,
UGC00191,19713886539.890755,11.03988973146266,9.385901511143828,,,
ESO116-G012,17214150165.06939,7.477335599709464,114.26878892948051,,,
NGC3521,89825433009.2754,2.658781215810522,2160.20439799676,,,
NGC5985,417276880675.7573,29.830955641689997,1647.842532292166,7364410066.269931,0.0027614264376312485,0.0038896092592776745
UGC05918,212117176759.83725,99.99999999826657,7.60999160760392,,,
UGC06930,47217855068.51682,15.033639159209086,52.76962336060197,,,
NGC1090,106107907042.14091,8.572391690142657,576.6668420651522,,,
UGC07323,1258465502480.8892,99.99999999146557,10.256454919232695,,,
UGC07125,37094858056.9269,22.40513375775556,97.43485033564406,,,
UGC02259,15279659638.8916,11.588439329539591,19.77724140575133,,,
NGC3893,53369505770.01144,2.7339683728608426,137.1529008025756,,,
NGC3726,102602825812.32196,6.656940298638496,1143.7151695875627,,,
NGC2366,15419153976.044746,15.590808157314084,54.4795299816348,,,
UGC04325,118516880974.81853,30.35324821577115,60.30927820810863,,,
UGC12506,317998579035.15796,22.63625164404872,1515.6337349307937,,,
UGC11455,573462712909.223,18.448455815786758,12151.880506814297,,,
NGC1705,783296931.1367562,0.662736182963178,60.9361946083378,,,
F563-V1,246278465184.78098,99.99999989674585,13.12942758676131,,,
F561-1,592756768908.427,99.99999989609019,5.966965625744412,,,
UGC06818,6498758307.170562,7.282723539480534,2.7258885961080246,,,
UGC07089,34858397432.25284,18.073170656011982,43.73840535586989,,,
UGC05253,129316019721.44551,15.357347428294068,5593.573558635781,79412090382.57014,1.194091567867453,5224.564686275416
UGC04305,35659492664.656906,19.738530046222483,76.17357772335126,,,
UGC06446,24724910621.08367,17.48909169502535,44.0342527956554,,,
NGC3953,327360649286.9975,11.189077582251311,189.4622023189825,,,
NGC6789,19441587079.134758,11.178095920513428,6.138175861344065,,,
UGC07232,2446145058.30193,3.3167692748951003,6.48148839194768,,,
UGC03546,90063539044.74777,4.819699836867148,5018.630969325629,15063558175.591354,0.0711966410943195,197.26393118411093
NGC6503,11579340431.28433,2.0093682845167784,1108.9564660930985,,,
UGC05005,44895015414.542496,26.034192313790026,16.87402228629518,,,
UGC07690,1810947888.8703377,1.3628988601546788,0.7789017433921037,,,
UGC00634,25305039011.918938,14.24470346385999,11.534666893610115,,,
DDO154,1906713963.5372605,6.5295908901013044,9.434240507034376,,,
UGC07603,1264211001.3323507,2.198326069354255,25.199139694619397,,,
NGC3992,281729095601.57385,9.102870734077218,1229.5917343561036,,,
NGC4088,157430162201.6041,7.747579713625669,3238.971795715611,,,
F579-V1,75996684388.62396,21.49510338858888,67.14239657894665,,,
ESO444-G084,946003852.6246156,2.6728206732455466,36.22510454702102,,,
F565-V2,274714188744.45767,99.99999999937236,6.640948871075287,,,
UGC10310,123540985120.04893,40.323955954318336,17.164545237414043,,,
NGC5055,75742819653.47124,3.8856076473431154,457.5368859580426,,,
NGC0801,356097250446.43646,7.330560124464126,609.3895530787677,,,
F563-1,50241584569.0691,34.4298228457415,13.723611395475253,,,
NGC6946,91816976948.18922,5.732076594580555,8874.969771105903,2419381929.166353,0.06221878859033539,50.79332191764994
UGC06614,182229514974.34677,31.48259959535343,998.0956328510315,51307028449.80671,0.8245239293023581,67.03803554146602
NGC3769,18412431859.25701,2.5541707468487536,58.99525724616757,,,
NGC3917,139763034128.21796,20.708717237213758,728.5801113199957,,,
UGC05999,155558367906.30008,51.13696471617646,31.063187299914723,,,
NGC4085,50565828149.23192,6.133755160317898,78.41846980130828,,,
NGC3198,64384031473.67145,8.556643469686803,2241.9287146420793,,,
F568-3,288858554112.3729,68.75190322428021,41.02103713575787,,,
NGC5033,72309279843.67601,4.62817536987753,1817.1003864147544,12320364331.395782,0.30747954030414065,179.1963627164766
UGC11557,68330029142.01794,14.739110713388865,97.9972619591376,,,
UGC02885,533673125982.95245,21.737008822652726,846.699441534735,52795155853.185715,0.5841493351546522,384.4349366604518
KK98-251,343728395912.59686,99.99999997983608,60.84642608587126,,,
NGC5907,250174849557.2007,9.780706326478779,1374.255848287163,,,
UGC06917,30722085440.290585,11.256697174306524,23.980364021172612,,,
UGC09992,3201392453.5579133,5.806416527939752,0.4845259587935711,,,
UGC04499,19582308495.96836,12.74407732820299,6.863351772872969,,,
NGC0289,84169770839.98672,3.9626223758534946,1824.3612995392045,,,
UGC06983,23584050536.796112,9.664006330766334,116.79194799818987,,,
UGC06973,15176244679.855345,0.31892817321909395,3.2071110665828266,3965741721.3170156,0.00010000000000002495,0.001411715017066177
UGC02487,491816491845.83496,10.302625473969588,1748.5492697296925,63265110643.99864,0.4229389667318183,4.110708217044798
UGC09037,94500968434.51971,11.969836032990782,88.47873006008683,,,
NGC4051,129618927920.31778,8.717579241087153,1328.833191271118,,,
F571-8,5078943904.882979,2.148644452945037,251.30239736478208,,,
D564-8,266649411.34090495,3.3762857328524163,0.8115462080579339,,,
UGC00891,5405845380.763939,8.759491923365283,11.159678801955057,,,
NGC2998,233821453530.6344,11.418445108613863,1277.9663164169228,,,
NGC0055,29935549311.31606,14.781074592529599,82.03059703868847,,,
NGC2683,66248077339.68313,2.4589783004262595,1141.9314507793783,3671957257.4689403,0.0028927190195075225,0.00022173877905327986
UGC12632,355302862416.4073,99.99999998418335,12.775222532089831,,,
F563-V2,336852428309.4132,67.57164934103105,53.236411549219866,,,
NGC5585,9105683101.090847,5.784678271476924,21.349866013932253,,,
NGC2976,4512728381752.076,99.99999998598243,983.1146049752012,,,
NGC7814,36632025117.06494,5.857039878760969,874.9285714046545,32973760303.28719,0.4909240766870993,102.38440158273474
UGC05716,14891114358.596132,16.25919638945303,16.656303516220255,,,
F571-V1,26485926142.880985,20.062789194026987,21.482236448352623,,,
F583-1,266778479871.83188,99.99999999511301,114.47977484302626,,,
UGC11914,378214641577.69165,13.74651242588193,5534.792650313246,42109246485.12908,0.9210700030066026,2663.02987636153
NGC0891,71873638434.78531,4.219112492585848,3317.319856525457,11669041302.873026,0.17722768114327903,46.41883092909656
DDO170,17329039808.45087,19.77425702446162,23.569876902140756,,,
F568-V1,43583877409.5051,23.540281959262376,27.194968223220506,,,
ESO079-G014,732659914021.1787,54.11553506553093,233.67328458085683,,,
UGC06787,143474704849.21,9.774162567432661,13985.610506876686,12997002128.108732,0.6332410926392026,1783.9483488300843
D631-7,1334206127.2485223,3.005241688219066,46.778301328824256,,,
NGC2955,370331998880.676,18.01713510809821,2894.2157829199555,85678503431.20764,2.1986360719633713,5258.769538063653
UGC03580,26043901272.468544,4.514129612278026,1975.8255347210818,1445088362.8238714,0.5784471089683676,651.9128380530449
NGC4100,79215544407.00932,5.462095828529052,4402.6318858341365,,,
UGC06786,80733145420.9335,8.87655823120869,10323.633791773516,15839253965.57405,0.6706879892875378,1980.68792914109
UGC00128,62971603937.2474,26.435309432818173,239.0883672807811,,,
NGC4068,647448020607.2672,99.9999999899892,11.097694472052108,,,
UGC00731,305398380603.9978,99.99999998874496,237.88939282357697,,,
UGC07608,326530350150.74744,99.99999997662688,10.515073463418645,,,
UGC05750,178206720494.7413,72.83920149455486,58.30112540769963,,,
UGCA442,2805398042.3998,6.084464966284398,72.26316694931117,,,
UGC04278,547691452664.5364,99.99999999241756,477.6528535578393,,,
UGC07151,15064702389.217245,6.49681617442876,29.741282750643816,,,
NGC3972,128180341618.67421,19.355412548302326,128.54121963629547,,,
F568-1,706869906740.8541,99.99999999332293,95.63843539017967,,,
NGC7793,23016286218.06336,4.792790869162889,756.7556108046322,,,
NGC3877,407502213017.02747,26.209044039067898,509.89671694428745,,,
NGC6674,379973400359.2995,10.015070431614445,4387.538377192441,13673033816.947542,0.011283898307747899,0.008254479646417557
NGC6015,59048126179.82785,5.709717579263627,3568.448512274514,,,
UGC12732,169475724932.382,62.956153820641475,100.19369873037249,,,
DDO168,2788206318.7852435,4.405874576574084,10.775425067228543,,,
NGC2903,48759205948.27808,2.2628868994921802,5102.640209420331,,,
UGC02455,11557995424.28662,4.8411160931497195,50.19658321236022,,,
UGC02023,239791090826.49316,55.72952449374091,18.86956752583694,,,
DDO064,532532026867.9298,99.99999910040025,82.30812617465077,,,
UGC05986,14692395079.177994,6.103771901144903,306.19188546603795,,,
UGCA281,1593165247.8353307,3.8592288377739803,14.376951844233314,,,
UGC06399,43214831846.68817,21.50611604972676,19.07742709040038,,,
UGC09133,319346509848.1362,9.993533750875276,21484.125278731466,51252229348.047745,1.1570855028571632,5723.214983083551
NGC0024,12742254482.159122,3.950042743021283,1191.6181587937015,,,
UGC08550,1565943882.0341878,2.9636764867893945,50.84168178482847,,,
UGC02953,303793778083.8535,7.925789996249241,80597.90710811374,24448638354.480156,0.7159600039513654,13414.927499892738
NGC4138,27455878209.818745,1.1234931941174342,124.38161366602124,5775403048.629185,0.001038945533824056,4.182254707023247e-05
