GalaxyID,M_b_fit,a_fit,ChiSq,RedChiSq
NGC5371,337907014118.73315,10.718279437217292,5220.849666718004,307.10880392458847
UGC05829,1.1410242862920803e+21,5515868.853642917,182.81823916975648,20.3131376855285
NGC5005,303876514789.7427,7.392137701489631,1667.2292878863025,104.2018304928939
NGC1003,13799187125.247591,3.7168793258392796,364.9234662081013,10.733043123767684
NGC0100,8586309429.54595,6.534562141090515,165.72517665545752,8.722377718708291
UGC07261,9000663515.33008,6.453424748714198,61.3185899328663,12.26371798657326
NGC6195,930315848327.0537,38.448122296015725,4153.621902095515,197.79151914740547
UGC05414,40622121047.159256,20.31309028148877,13.60172591175919,3.4004314779397977
UGC11820,19507604686.964096,14.00145824818792,53.00991485542015,6.626239356927519
NGC4183,37234086086.33804,10.804695157988741,525.8542921377224,25.04068057798678
UGC08699,71722314528.16393,5.617646928275178,3302.3338621148405,84.67522723371385
NGC2841,292983035432.9343,6.9023078390842025,18971.15848721271,395.2324684835981
F567-2,29379747250.641327,25.142339826243138,26.770699782663243,8.92356659422108
NGC2403,21042384423.640488,3.9017739060402508,900.7827339131326,12.687080759339896
NGC4010,81186799814.06624,14.742687212413244,289.27478285590195,28.927478285590194
F574-1,61072803609.255875,28.32332782494886,42.63798970931524,3.5531658091096037
NGC0300,9620619931.105057,6.836154054221259,93.77727432868076,4.077272796899163
F574-2,2.0597203809399829e+21,8346615.539029738,9.82064583947686,3.2735486131589533
UGC08490,2751658827.365109,1.9335211545157331,53.15018084723315,1.898220744544041
UGC07524,7.921810271596537e+20,4389783.520295608,37.652724462308484,1.2983698090451201
ESO563-G021,360493079586.3789,22.130789038353242,2394.836384665916,85.52987088092557
UGC00191,19713884158.95442,11.03988880718818,9.385901511143082,1.3408430730204404
ESO116-G012,17214049030.371574,7.477299129631323,114.26878893941789,8.789906841493684
NGC3521,89825481885.78041,2.658782849273915,2160.2043979566024,55.3898563578616
NGC5985,417278528681.1607,29.831046862744454,1647.8425321004886,53.156210712918984
UGC06930,47217868225.82761,15.033642598305631,52.769623360574954,6.596202920071869
NGC1090,106108004817.32034,8.57240129757737,576.6668420655981,26.212129184799913
UGC07323,3488636296169.898,169.1704927929023,9.751288605278333,1.2189110756597916
UGC07125,37094835081.419365,22.405123448713898,97.43485033564396,8.857713666876723
UGC02259,15279814955.121246,11.588523438665474,19.777241405858483,3.2962069009764137
NGC3893,53369480083.38043,2.733966224106436,137.15290080676726,17.144112600845908
NGC3726,102602216245.59651,6.65688810844307,1143.7151697448207,114.37151697448208
UGC04325,118519704032.83124,30.353655176276675,60.30927819798307,10.051546366330511
UGC12506,318000486200.4445,22.636389226034435,1515.6337347989554,52.26323223444674
UGC11455,573458163752.2893,18.44832689313387,12151.88050705331,357.4082502074503
F561-1,736738399282.1628,112.26905272898206,5.9259562412922016,1.4814890603230504
UGC07089,34858900745.373116,18.073344151686438,43.73840534739545,4.373840534739545
UGC05253,129315640692.67906,15.357312733446374,5593.573559201477,78.7827261859363
UGC04305,35659466317.843544,19.73852145831984,76.17357772313552,3.808678886156776
UGC06446,24724914380.114315,17.4890934781293,44.03425279565738,2.9356168530438254
NGC3953,327359763015.0581,11.189050070990001,189.4622023032028,31.577033717200464
UGC03546,90062896825.77208,4.819665127067375,5018.630969673926,179.23682034549736
NGC6503,11579385209.119518,2.009383501501084,1108.9564663246722,38.239878149126625
UGC05005,44895070349.500275,26.034216340717503,16.874022286149454,1.8748913651277173
UGC00634,25305069987.98643,14.244718793991694,11.534666893352517,5.7673334466762585
NGC3992,281726233196.72876,9.10271684523774,1229.5917338763918,175.6559619823417
NGC4088,157433170983.7975,7.747744609119303,3238.9717963310304,323.89717963310306
F579-V1,75996456606.87915,21.49505975288234,67.14239658029061,5.595199715024218
UGC10310,123539937073.61789,40.323762469555255,17.164545237118684,3.432909047423737
NGC5055,75742841769.846,3.885609254118489,457.5368859536619,17.597572536679305
NGC0801,356097254784.08496,7.330560223911655,609.3895530787564,55.39905027988695
F563-1,50241581171.48598,34.42982129624534,13.723611395474713,0.9149074263649808
NGC6946,91817334909.73557,5.732103656325356,8874.969768527886,158.48160300942655
UGC06614,182229893932.67712,31.48265513612157,998.0956328608025,90.73596662370932
NGC3769,18412434670.125023,2.554171434415403,58.995257245786135,5.899525724578614
NGC3917,139762777821.10684,20.708690243514422,728.5801112894173,48.572007419294486
UGC05999,155558461005.40005,51.136983417893305,31.063187299885684,10.354395766628562
NGC4085,50565986948.23529,6.133770495855723,78.41846980392832,15.683693960785664
NGC3198,64384018566.91877,8.556641743675947,2241.9287146414094,54.681188161985595
F568-3,288858221763.985,68.75185813603512,41.02103713579072,2.56381482098692
NGC5033,72309446858.61827,4.628192500250623,1817.1003861604358,90.8550193080218
UGC11557,68329899421.27183,14.73909159421001,97.99726195828728,9.799726195828729
UGC02885,533674178759.1515,21.737061048205355,846.6994415056668,49.80584950033334
NGC5907,250174720591.55963,9.780698727452657,1374.2558483112575,80.83857931242692
UGC06917,30722047940.460514,11.256686512194332,23.98036402096018,2.664484891217798
UGC04499,19582309282.105476,12.74407768461538,6.863351772872848,0.9804788246961211
NGC0289,84169729047.18944,3.962619081710747,1824.3612995316753,70.16774228967982
UGC06983,23584093045.707428,9.664022442111923,116.79194799446512,7.786129866297674
UGC06973,15176244681.315657,0.31892817339316026,3.207111066582834,0.45815872379754774
UGC02487,491808631976.1285,10.30235072451214,1748.549261390842,116.56995075938947
UGC09037,94500960118.37671,11.969834921762626,88.47873006003746,4.423936503001873
NGC4051,129619343149.8078,8.71760396082506,1328.8331912449348,265.76663824898696
F571-8,5078930915.087265,2.1486373826919234,251.30239741968845,22.84567249269895
NGC2998,233821454021.03848,11.41844513200056,1277.9663164168715,116.1787560378974
NGC0055,29935519186.63417,14.781063272204419,82.03059703960372,4.317399844189669
NGC2683,66248134590.29239,2.4589831460432774,1141.9314507927754,126.88127231030838
UGC12632,1114211171006.2615,182.62203138303394,11.49951949460172,0.8845784226616709
F563-V2,336851893017.01605,67.57158965852503,53.2364115491908,6.65455144364885
NGC5585,9105682537.349707,5.784677960710594,21.349866013929784,0.9704484551786265
NGC2976,7.955534461091845e+20,1345297.555242732,931.9120596517555,37.27648238607022
NGC7814,36632190666.54264,5.857071272857328,874.9285711153517,54.68303569470948
UGC05716,14891110233.059511,16.25919312172128,16.65630351621282,1.665630351621282
F571-V1,26485808018.500916,20.06272573842929,21.48223644909107,4.2964472898182136
UGC11914,378223476721.649,13.746724264199104,5534.792648555194,87.85385156436817
NGC0891,71873441616.19054,4.21909714992233,3317.3198560031283,207.33249100019552
DDO170,17329009406.188,19.77423294370766,23.569876902300088,3.928312817050015
F568-V1,43583882478.62573,23.540283755956306,27.194968223220183,2.0919206325553987
ESO079-G014,732660442699.246,54.11555812872426,233.67328458078126,17.974868044675482
