GalaxyID,log_M_b_fit,log_M_b
NGC5371,11.528797206754017,11.198233537997414
UGC05829,21.05729488831864,9.216863165923959
NGC5005,11.211854612899236,10.975567883583865
NGC1003,10.1398535039797,10.099083440219218
NGC0100,9.933806535334066,9.622452271011904
UGC07261,9.954274526153197,9.442354435156112
NGC6195,11.496150912631663,11.276460313137932
UGC05414,10.608762595952784,9.121248806086697
UGC11820,10.290203946221885,9.536029456659959
NGC4183,10.570940698516937,10.027970007376327
UGC08699,10.654350924029806,10.621959788280831
NGC2841,11.472423397801633,11.271028400217496
F567-2,10.468048055302981,9.637651711680494
NGC2403,10.323094950470104,9.992520082878492
NGC4010,10.909485422911962,10.06635997167488
F574-1,10.785847857184033,9.899087726098722
NGC0300,9.983203057898887,9.443172607422657
F574-2,21.313808266360745,9.566318076718012
UGC08490,9.439594585603466,9.216131852375984
UGC07524,20.898824436782565,9.550378823066982
ESO563-G021,11.556896931950604,11.046377001347844
UGC00191,10.294772200261729,9.486622318105658
ESO116-G012,10.235883035622177,9.544398770717056
NGC3521,10.953399555737795,10.669142700405072
NGC5985,11.367472768278093,10.898594189826918
UGC06930,10.674106375824906,9.94985609891049
NGC1090,11.025748148433438,10.677280137941654
UGC07323,12.54265569492823,9.477981985653297
UGC07125,10.5693134446072,9.876376058045334
UGC02259,10.18411809478572,9.17761292931578
NGC3893,10.727292971999413,10.53445998778481
NGC3726,11.011156741797608,10.68647313933361
UGC04325,11.073790558290053,9.284561475038188
UGC12506,11.502427783990749,11.063473510684155
UGC11455,11.758501739736378,11.220144549605171
F561-1,11.867313306154257,9.621013477217025
UGC07089,10.542313687772658,9.522908517899708
UGC05253,11.04069502474178,10.87697032773071
UGC04305,10.552174839205291,9.127811264972536
UGC06446,10.393134796353817,9.371190700540335
NGC3953,11.515025297634187,10.90789949905636
UGC03546,10.782070596611405,10.777432975173973
NGC6503,10.063685501759743,9.901810974864048
UGC05005,10.65219865642546,9.787673173511662
UGC00634,10.403207542804825,9.801338091112433
NGC3992,11.449827288597891,11.179960596347955
NGC4088,11.197096243000523,10.757111393919011
F579-V1,10.880793343439283,9.966967689985406
UGC10310,11.091807375789214,9.398153303074608
NGC5055,10.879341595237019,10.75059183112195
NGC0801,11.551568625635166,11.365528608556929
F563-1,10.701063298787371,9.71777686805599
NGC6946,10.82919914065627,10.630244237116578
UGC06614,10.995930846185273,10.946006565259337
NGC3769,10.265111218916292,10.182475539757101
NGC3917,11.145391523775029,10.166634572037381
UGC05999,11.191893637868526,9.637323982042822
NGC4085,10.703858488230258,9.993408836983999
NGC3198,10.808778079944682,10.529848844466647
F568-3,11.460684733365795,9.921234919378048
NGC5033,10.815505197107191,10.763743781904552
UGC11557,10.83461078146001,9.9603283081067
UGC02885,11.507537913655932,11.385456770305096
NGC5907,11.398243423413934,11.113143674053244
UGC06917,10.487450162518213,9.792120987549747
UGC04499,10.291863905512995,9.347688229226607
NGC0289,10.925155929130279,10.860421787087484
UGC06983,10.372619179593034,9.833145605809367
UGC06973,10.279793115792883,10.19009224578831
UGC02487,11.720717647774572,11.568472519290301
UGC09037,10.975436220911323,10.647313392652183
NGC4051,11.112669816321446,10.692415553156009
F571-8,9.705772305484546,9.691937512502475
NGC2998,11.368884356849287,11.041300085287718
NGC0055,10.476186794732747,9.565572544736984
NGC2683,10.837323754548242,10.67919476875988
UGC12632,12.046967508352518,9.471298198592367
F563-V2,11.527438992313705,9.648379824397606
NGC5585,9.959312504891498,9.535770360284928
NGC2976,20.900669361318364,9.320708223456144
NGC7814,10.705767786801935,10.63372875285736
UGC05716,10.172927078552476,9.247193114248274
F571-V1,10.423013226757112,9.40545393272225
UGC11914,11.037341659330206,10.775803651274346
NGC0891,10.779991002166168,10.593854524578616
DDO170,10.238773737455848,9.093210758594221
F568-V1,10.639325914848738,9.724533755555594
ESO079-G014,11.864902744041803,10.474396755216393
UGC06787,10.893513126476952,10.993742896744216
NGC2955,11.381907577571072,11.159073914538155
UGC03580,10.328672243677003,10.219315014658113
NGC4100,10.898810867994525,10.550232309448193
UGC06786,10.661333106649929,10.57613895983368
UGC00128,10.799143425678395,10.213468370945238
UGC00731,21.24324196276016,9.408744056914013
UGC05750,11.25092009529243,9.495609959053846
UGC07151,10.177960837898137,9.412136060494625
NGC3972,11.107821962583088,9.940520118376952
F568-1,21.224617534254133,9.96579370525163
NGC7793,10.362035845160026,9.709422718755194
NGC3877,11.61012993427432,10.399891914239067
NGC6674,11.539557453808353,11.392958974042019
NGC6015,10.771203520319993,10.453449538087833
UGC12732,11.229107816333634,9.759274101925053
NGC2903,10.688055698526723,10.48856334593
UGC02455,10.062880509131292,9.36874667209987
UGC02023,11.379827135317674,9.107455366507704
UGC05986,10.167098938984335,9.77905885045653
UGC06399,10.635633941134774,9.323008992942798
UGC09133,11.425636614624967,11.390269907143592
