GalaxyID,M_b_fit,a_fit,ChiSq,M_b_fit_bulge,a_fit_bulge,ChiSq_bulge
NGC5005,303874499924.7296,7.392095779529725,1667.2292878007177,15023020087.665018,0.4075243331465953,1970.014207741904
NGC6195,930343617741.3549,38.448933200065575,4153.621902629911,110526250421.41212,2.2569855258712885,1337.4329660423205
UGC08699,71722522593.96097,5.617663951523759,3302.333862448917,11297894908.28955,0.4034798754885705,5352.265601176176
NGC2841,292986587429.96765,6.902417422994762,18971.15848586963,38949917381.9022,0.005571332034418432,0.4562939620576897
NGC5985,417277085910.92957,29.830966871434928,1647.8425322631751,7364410068.157738,0.0027614274856571164,0.003889609259277796
UGC05253,129317637549.2313,15.357495586863397,5593.57355858487,79412079518.1767,1.1940913095206411,5224.5646862972435
UGC03546,90063073171.22087,4.819674650988406,5018.630969296074,15063558558.927973,0.0711966589216801,197.26393118411602
NGC6946,91817478423.75076,5.732114494777933,8874.969767843724,2419381946.802526,0.062218791421402346,50.79332191764946
UGC06614,182227841605.57446,31.482354130163266,998.0956329377938,51307030646.83478,0.8245241219503897,67.03803554139702
NGC5033,72309437428.01437,4.628191528701326,1817.1003861676045,12320371204.95683,0.30748025533750273,179.19636271203095
UGC02885,533673794094.0822,21.7370419692079,846.6994414993057,52795175367.62033,0.584150220991376,384.4349366515722
UGC06973,15176244681.168211,0.31892817337254564,3.2071110665828635,3963046404.439951,-0.0009409956626838702,0.0002637630814874924
UGC02487,491808792809.59753,10.30235633805156,1748.5492613709532,63265110581.24824,0.42293895852988844,4.1107082170449125
NGC2683,66248112327.05262,2.4589812639607986,1141.9314507845984,3671957257.4454203,0.002892719001120576,0.00022173877905326843
NGC7814,36632204617.61939,5.857073908449635,874.9285710999095,32973756894.319317,0.49092392489818343,102.38440158303483
UGC11914,378224560285.4088,13.746750267706517,5534.792648669499,42109244099.00775,0.9210699183525666,2663.0298763625833
NGC0891,71872651099.85059,4.219035536363382,3317.319856068523,11669040252.255009,0.17722756138243376,46.418830929364745
UGC06787,143478827293.67386,9.774420527029687,13985.610509560878,12996995033.8122,0.6332404363400975,1783.9483488081896
NGC2955,370334735685.6259,18.01724544586825,2894.2157826601137,85678248358.22458,2.1986249470379535,5258.769538536111
UGC03580,26044028300.188255,4.5141500975417435,1975.825534517093,1445098128.283237,0.5784536116887282,651.9128381043561
UGC06786,80736799620.391,8.876933161132577,10323.633790636919,15839241546.903069,0.6706868882226614,1980.687929083096
NGC6674,379972884736.79913,10.015048754492001,4387.538377827725,13673033816.972206,0.01128389831073066,0.008254479646421268
UGC09133,319352375826.2729,9.993733612663583,21484.125276006875,51252443771.04946,1.1570954040278945,5723.214982735265
UGC02953,303792881541.20856,7.925767218582661,80597.90709760618,24448786385.622696,0.7159680293144969,13414.927499179747
NGC4138,27455884665.536106,1.1234939821191237,124.38161366480094,5775403048.648792,0.0010389455413896617,4.182254707033812e-05
IC4202,970243033940.6426,55.38482124921015,5419.357177767911,8626692385.799519,1.8165674247669863,400.60683366451724
NGC4013,49477229111.179306,1.0231843968378715,2227.239264587397,12667065208.200396,0.08519414585187064,0.9425571367264532
UGC03205,175122934264.76373,11.705054122612479,15404.312624533144,20167557785.2398,1.033088291331918,3544.774404457437
NGC7331,170618998095.38104,3.2669457142073677,1830.9460576853048,7138652081.122449,0.0004898963990160944,0.0008910193262915357
UGC02916,497816839745.36255,47.545331904175114,1274.231790456283,25124000346.679108,1.958207663264334,3688.1016428434023
NGC4217,77187493958.9061,14.042543719390432,2198.8658919475643,28339649505.580173,2.2754076229727467,2501.239026128606
NGC4157,125750880702.39737,5.434355145731586,4698.416095225711,1313740595.3023496,-3.689577972271401e-05,0.00011024713769300945
