Galaxy,M_b_fit,a_fit,chi2,M_b_fit_bulge,a_fit_bulge,chi2_bulge
NGC5371,337907068233.6963,10.718281473251343,5220.849666718888,,,
UGC05829,409493564937.1896,99.99999999981185,218.91583342909473,,,
NGC5005,303874503258.0078,7.392095860493523,1667.2292877999591,15023019243.81272,0.40752427123187607,1970.0142077400683
UGCA444,6685525966.081169,13.210223228798997,133.68093046602138,,,
NGC1003,13799186958.135756,3.7168792484075803,364.9234662084087,,,
NGC0100,8586198599.909543,6.534487995132064,165.72517668214505,,,
NGC6195,930311982001.6342,38.44800950454446,4153.621902486657,110526199806.81856,2.2569835250762273,1337.4329660956244
UGC01281,335062278114.22,99.99999951975872,60.51082694983996,,,
UGC08837,455299051028.5454,99.99999999867968,26.999902310606494,,,
UGC11820,19507639510.094692,14.001478019938725,53.00991485541944,,,
UGC06667,290065133758.2669,99.99999999307875,107.50737499339637,,,
NGC4183,37233961514.87181,10.80466051290339,525.8542921255964,,,
UGC08699,71722247690.11429,5.617641465650421,3302.33386207435,11297825248.768074,0.4034741228247329,5352.265603041248
F583-4,15404854560.951998,14.395988080848477,29.57870033660463,,,
UGC07399,4229941668.0158544,3.9244573336196362,6.455096618345268,,,
NGC2841,292983807923.7941,6.902331665399506,18971.158484484175,38949917386.3198,0.005571332432968202,0.45629396205769424
NGC2403,21042420898.721745,3.9017809866828475,900.7827338677326,,,
NGC4010,81186341328.24234,14.742627965078885,289.2747828495086,,,
F574-1,61072941580.82765,28.323368729652998,42.63798970931604,,,
NGC0300,9620623531.179184,6.836156449543487,93.77727432820578,,,
NGC3741,593681918.3048846,3.4539315359478997,41.161602522010504,,,
NGC4214,1416831573.8275588,0.9441382666025248,151.88910787381167,,,
CamB,926678275.9751575,4.76208780731039,12.244844657057435,,,
NGC2915,924097899.3481945,1.0311415844042204,180.832402259677,,,
UGC08490,2751656436.9682612,1.9335187656653396,53.150180851212056,,,
UGC07524,471494898333.08026,99.99999980883021,67.25494511477612,,,
UGC05721,1495091744.5115583,1.451528667549367,80.48312311424,,,
ESO563-G021,360496000972.79,22.130953302445764,2394.836384708234,,,
UGC00191,19713886539.890755,11.03988973146266,9.385901511143828,,,
ESO116-G012,17214150165.225838,7.477335599763384,114.26878892948054,,,
NGC3521,89825433009.2754,2.658781215810522,2160.20439799676,,,
NGC5985,417276880675.7573,29.830955641689997,1647.842532292166,7364410066.269931,0.0027614264376312485,0.0038896092592776745
UGC05918,212117176759.83725,99.99999999826657,7.60999160760392,,,
UGC06930,47217855068.51682,15.033639159209086,52.76962336060197,,,
NGC1090,106107907042.12268,8.57239169014045,576.6668420651516,,,
UGC07323,1258465502480.8892,99.99999999146557,10.256454919232695,,,
UGC07125,37094858056.9269,22.40513375775556,97.43485033564406,,,
UGC02259,15279659638.8916,11.588439329539591,19.77724140575133,,,
NGC3893,53369505770.105736,2.7339683728678765,137.1529008025747,,,
NGC3726,102602825812.32196,6.656940298638496,1143.7151695875627,,,
UGC04325,118516880974.81853,30.35324821577115,60.30927820810863,,,
UGC12506,317998579035.15796,22.63625164404872,1515.6337349307937,,,
UGC11455,573462712906.2864,18.448455815710055,12151.8805068143,,,
UGC06818,6498758307.160062,7.282723539471598,2.725888596108011,,,
UGC07089,34858397434.52268,18.073170656788694,43.73840535586979,,,
UGC05253,129316019721.44551,15.357347428294068,5593.573558635781,79412090382.57014,1.194091567867453,5224.564686275416
UGC06446,24724910621.08367,17.48909169502535,44.0342527956554,,,
NGC3953,327360649286.9975,11.189077582251311,189.4622023189825,,,
UGC03546,90063539044.74777,4.819699836867148,5018.630969325629,15063558175.591354,0.0711966410943195,197.26393118411093
NGC6503,11579340431.305548,2.009368284522182,1108.956466093099,,,
UGC05005,44895015414.542496,26.034192313790026,16.87402228629518,,,
DDO154,1906713963.5372605,6.5295908901013044,9.434240507034376,,,
UGC07603,1264211001.3323507,2.198326069354255,25.199139694619383,,,
NGC3992,281729095601.57385,9.102870734077218,1229.5917343561036,,,
NGC4088,157430162201.6041,7.747579713625669,3238.971795715611,,,
F579-V1,75996684388.62396,21.49510338858888,67.14239657894665,,,
NGC5055,75742819653.47124,3.8856076473431154,457.5368859580426,,,
NGC0801,356097250446.43646,7.330560124464126,609.3895530787677,,,
F563-1,50241584569.0691,34.4298228457415,13.723611395475253,,,
NGC6946,91816976948.18922,5.732076594580555,8874.969771105903,2419381929.166353,0.06221878859033539,50.79332191764994
UGC06614,182229514974.34677,31.48259959535343,998.0956328510315,51307028449.80671,0.8245239293023581,67.03803554146602
NGC3769,18412431859.25701,2.5541707468487536,58.99525724616757,,,
NGC3917,139763034128.21796,20.708717237213758,728.5801113199957,,,
NGC3198,64384031473.67145,8.556643469686803,2241.9287146420793,,,
F568-3,288858554114.44885,68.75190322456199,41.02103713575788,,,
NGC5033,72309279843.51572,4.628175369863645,1817.1003864147565,12320364331.451012,0.30747954030973407,179.1963627164762
UGC11557,68330029142.01794,14.739110713388865,97.9972619591376,,,
UGC02885,533673125983.12494,21.737008822659217,846.6994415347359,52795155852.98618,0.5841493351464855,384.4349366604526
KK98-251,343728395912.59686,99.99999997983608,60.84642608587126,,,
NGC5907,250174849557.2007,9.780706326478779,1374.255848287163,,,
UGC06917,30722085440.290585,11.256697174306524,23.980364021172612,,,
UGC04499,19582308495.96836,12.74407732820299,6.863351772872969,,,
NGC0289,84169770839.98672,3.9626223758534946,1824.3612995392045,,,
UGC06983,23584050536.796112,9.664006330766334,116.79194799818987,,,
UGC02487,491816491845.83496,10.302625473969588,1748.5492697296925,63265110643.99864,0.4229389667318183,4.110708217044798
UGC09037,94500968434.4339,11.969836032979277,88.4787300600868,,,
F571-8,5078943904.882979,2.148644452945037,251.30239736478208,,,
NGC2998,233821453530.6344,11.418445108613863,1277.9663164169228,,,
NGC0055,29935549311.34165,14.781074592539271,82.0305970386885,,,
NGC2683,66248077339.68313,2.4589783004262595,1141.9314507793783,3671957257.4689403,0.0028927190195075225,0.00022173877905327986
UGC12632,355302862416.2692,99.99999998418315,12.775222532089874,,,
F563-V2,336852428309.4132,67.57164934103105,53.236411549219866,,,
NGC5585,9105683101.090847,5.784678271476924,21.349866013932253,,,
NGC2976,4512728381752.076,99.99999998598243,983.1146049752012,,,
NGC7814,36632025117.06494,5.857039878760969,874.9285714046545,32973760303.28719,0.4909240766870993,102.38440158273474
UGC05716,14891114358.596132,16.25919638945303,16.656303516220255,,,
F583-1,266778479871.83188,99.99999999511301,114.47977484302626,,,
UGC11914,378214641577.69165,13.74651242588193,5534.792650313246,42109246485.12908,0.9210700030066026,2663.02987636153
NGC0891,71873638435.52084,4.219112492640095,3317.31985652546,11669041302.873026,0.17722768114327903,46.41883092909656
DDO170,17329039807.64355,19.774257023824276,23.569876902140752,,,
F568-V1,43583877409.5051,23.540281959262376,27.194968223220506,,,
ESO079-G014,732659914021.1787,54.11553506553093,233.67328458085683,,,
UGC06787,143474704849.63135,9.774162567458927,13985.610506876683,12997002128.102886,0.6332410926386159,1783.948348830084
D631-7,1334206127.2485223,3.005241688219066,46.778301328824256,,,
NGC2955,370331998880.676,18.01713510809821,2894.2157829199555,85678503431.20764,2.1986360719633713,5258.769538063653
UGC03580,26043901272.468544,4.514129612278026,1975.8255347210818,1445088362.8234754,0.5784471089679447,651.9128380530453
NGC4100,79215544407.00932,5.462095828529052,4402.6318858341365,,,
UGC06786,80733145420.9335,8.87655823120869,10323.633791773516,15839253965.57405,0.6706879892875378,1980.68792914109
UGC00128,62971603937.2474,26.435309432818173,239.0883672807811,,,
UGC00731,305398380603.9978,99.99999998874496,237.88939282357697,,,
UGC07608,326530350150.74744,99.99999997662688,10.515073463418645,,,
UGC05750,178206720494.7413,72.83920149455486,58.30112540769963,,,
UGCA442,2805398042.3998,6.084464966284398,72.26316694931117,,,
UGC04278,547691452664.5364,99.99999999241756,477.6528535578393,,,
UGC07151,15064702389.217245,6.49681617442876,29.741282750643816,,,
NGC3972,128180341618.67421,19.355412548302326,128.54121963629547,,,
F568-1,706869906740.8541,99.99999999332293,95.63843539017967,,,
NGC7793,23016286218.06336,4.792790869162889,756.7556108046322,,,
NGC3877,407502213019.7643,26.209044039177293,509.89671694428813,,,
NGC6674,379973400359.2995,10.015070431614445,4387.538377192441,13673033816.947542,0.011283898307747899,0.008254479646417557
NGC6015,59048126179.82785,5.709717579263627,3568.448512274514,,,
UGC12732,169475724932.382,62.956153820641475,100.19369873037249,,,
DDO168,2788206318.7852435,4.405874576574084,10.775425067228543,,,
NGC2903,48759205948.27808,2.2628868994921802,5102.640209420331,,,
DDO064,532532026867.9298,99.99999910040025,82.30812617465077,,,
UGC05986,14692395079.177994,6.103771901144903,306.19188546603795,,,
UGC06399,43214831846.68817,21.50611604972676,19.07742709040038,,,
UGC09133,319346509848.1362,9.993533750875276,21484.125278731466,51252229348.08024,1.15708550285868,5723.214983083549
NGC0024,12742254482.159122,3.950042743021283,1191.6181587937015,,,
UGC08550,1565943882.0341878,2.9636764867893945,50.84168178482847,,,
UGC02953,303793778083.8535,7.925789996249241,80597.90710811374,24448638354.480156,0.7159600039513654,13414.927499892738
NGC0247,122614641983.37195,32.456266655735554,115.28290225825003,,,
IC4202,970212125054.0186,55.383697636288446,5419.357175323222,8626685389.513628,1.8165643376650347,400.6068336580928
UGC08286,9232625820.117674,8.218755888164857,60.52447180189317,,,
IC2574,230635161962.808,99.99999999192613,111.242951668912,,,
NGC4559,39356205077.12011,6.819626078825646,222.91356679610016,,,
UGC01230,54431527948.927444,22.87226897086326,36.76557911779258,,,
UGC07577,216906485723.58313,99.99999846834949,6.853380019337201,,,
NGC4013,49477261697.49133,1.0231886368832097,2227.239264532621,12667065217.73077,0.08519415008103493,0.9425571367264387
UGC03205,175121597733.77664,11.704971966198604,15404.31263181759,20167548247.3792,1.0330872210680768,3544.7744046286743
NGC7331,170619043459.6492,3.2669473695995923,1830.9460576835907,7138652080.974178,0.0004898964675657735,0.000891019326291806
UGC02916,497811084104.6906,47.5449811482921,1274.231790625189,25123922617.9174,1.9581978511383833,3688.101642109665
UGC04483,763386306.0593265,3.34092159569126,3.544783721909003,,,
NGC4217,77189210832.16904,14.04280013728194,2198.865890286966,28339679739.978184,2.275411616288419,2501.2390263421257
NGC3109,22340682637.710087,28.207793587118115,51.001631109231305,,,
UGC05764,374066263348.2589,99.99999999431931,25.772506962546288,,,
NGC4157,125750736745.34021,5.434346057609905,4698.416095768194,1313835936.6433995,0.00010000000000434248,0.0001196414708206897
DDO161,11651050017.446573,11.1751379718015,115.48497945950008,,,
