Galaxy,M_b_fit,a_fit,chi2,M_b_fit_bulge,a_fit_bulge,chi2_bulge
NGC5371,189067945572.47452,7.50285013391768,14834.179652484214,,,
UGC05829,38493023453.929535,15.9747513901279,17.896922975654757,,,
NGC5005,100940288629.91963,3.355611386397523,2379.780764637137,15023019243.81272,0.40752427123187607,1970.0142077400683
UGCA444,242871349.69856206,1.555561183382073,27.069211337970238,,,
NGC1003,9273127874.60698,3.1988624258851743,300.7013535918541,,,
NGC0100,2872743353.2153897,2.9561583805272598,19.90996782743721,,,
NGC6195,203010422783.3181,13.081158852833882,912.6468664100171,110526199806.81856,2.2569835250762273,1337.4329660956244
UGC01281,1143121617.5701246,3.4437109838871485,48.70540942018659,,,
UGC08837,2244905314.0690627,4.265453405443087,12.18513944061295,,,
UGC11820,3666375180.153924,3.1309448988414514,358.91183864072053,,,
UGC06667,6709208753.0602,9.32921128133497,11.648895617820479,,,
NGC4183,15024283346.94979,5.769449899985773,395.33977047912657,,,
UGC08699,31352919346.624474,2.9244389178171435,3525.7631465832874,11297825248.768074,0.4034741228247329,5352.265603041248
F583-4,1850445111.9450574,3.1833254835565796,19.980896523469323,,,
UGC07399,1472616418.3832438,1.869917369377737,103.23121227878622,,,
NGC2841,201892443538.47964,6.483178988028409,2772.5510344754557,38949917386.3198,0.005571332432968202,0.45629396205769424
NGC2403,10637449111.656563,2.41523470012819,3116.4125123909894,,,
NGC4010,15176076668.155851,4.52779269257163,45.89478858289534,,,
F574-1,6745640102.359408,6.340974528917864,254.9180220194437,,,
NGC0300,3660891367.04,3.5281352486900364,158.1962856976768,,,
NGC3741,214890030.94081035,1.7091955663628342,159.55517037985308,,,
NGC4214,871118754.6913387,0.6942818874936096,21.99801977237616,,,
CamB,87913781.86406471,0.9815560355256999,1.1885924189395236,,,
NGC2915,590558497.2503283,0.7833582477692907,467.33347779781496,,,
UGC08490,1610054689.2996252,1.3969211567026603,152.2484624327156,,,
UGC07524,8468862919.3257675,8.388774980474777,297.5127441146631,,,
UGC05721,731246522.6143076,0.8800268421347001,302.7961837102166,,,
ESO563-G021,136931907822.19339,10.766064731835769,2423.904098029893,,,
UGC00191,4055438093.4681134,3.2569694098986086,103.50502152676302,,,
ESO116-G012,5147344282.004804,3.1083770556487282,119.54505085266588,,,
NGC3521,45371085294.00758,1.7656211480170474,6904.288970985676,,,
NGC5985,112329305682.81123,12.11204953208665,240.56883216853865,7364410066.269931,0.0027614264376312485,0.0038896092592776745
UGC05918,922387375.4884932,3.9979437104926028,5.821863481273089,,,
UGC06930,13853141982.308868,6.389325516400193,255.31325404159327,,,
NGC1090,53577704228.615074,5.247456588197084,2418.0418085428014,,,
UGC07323,6532439074.643102,4.317805479038331,70.55072567662762,,,
UGC07125,8135502539.694203,7.785137599939001,350.5784899402719,,,
UGC02259,2967048348.2445827,3.6921414978818317,10.544116536088625,,,
NGC3893,35802874905.391075,2.4773148127678097,252.26637226647588,,,
NGC3726,64007140395.857796,5.735721558470877,132.75775275219047,,,
UGC04325,4286098636.191066,3.6176535940370345,6.254020936232816,,,
UGC12506,132273529182.95772,12.116096382928504,1195.712668526389,,,
UGC11455,228277004426.6612,9.492078056547339,4232.495496779816,,,
UGC06818,1630256758.5086775,2.7511591972344047,31.79948809334234,,,
UGC07089,4717691808.745964,4.566660691385791,15.093819889372305,,,
UGC05253,48056430780.79067,6.953355404170015,1361.2117497203963,79412090382.57014,1.194091567867453,5224.564686275416
UGC06446,3843197313.4250298,4.882976769811829,248.95791553572778,,,
NGC3953,123876981398.78049,6.071407637360633,412.70696464121386,,,
UGC03546,48067389468.50409,2.912535982752037,1005.5151349334216,15063558175.591354,0.0711966410943195,197.26393118411093
NGC6503,8251237040.998452,1.7802343728771661,305.8029769607183,,,
UGC05005,11425761086.454145,9.530627210135679,154.15585786694015,,,
DDO154,462099478.94910264,2.4109919975402065,11.622952830532729,,,
UGC07603,503436662.9945897,1.1603669798973029,18.85030370247909,,,
NGC3992,196953839432.4084,9.75607732276969,450.3091173338154,,,
NGC4088,78141144875.45642,4.940126502101639,814.1364115075116,,,
F579-V1,12579871648.804947,6.153331631953054,213.4332031921717,,,
NGC5055,47824772309.31657,3.06178947111031,4765.727383782823,,,
NGC0801,207439587484.374,4.331307357181509,6362.567443578734,,,
F563-1,6674216947.577153,8.253011030080868,214.18278923441872,,,
NGC6946,48258605477.57041,3.7338893225770793,1223.2545678337362,2419381929.166353,0.06221878859033539,50.79332191764994
UGC06614,66306092977.72445,15.523257484193623,494.418817984256,51307028449.80671,0.8245239293023581,67.03803554146602
NGC3769,12824756911.421452,2.411720704345325,130.25430541217554,,,
NGC3917,27010916948.25752,6.534802029534453,161.10446882113104,,,
NGC3198,33515345821.73043,5.43110901689555,4719.9113348646015,,,
F568-3,14054603049.925396,9.232301600905844,140.43851274369888,,,
NGC5033,45299716624.24234,3.344941226976572,1823.5704777680182,12320364331.451012,0.30747954030973407,179.1963627164762
UGC11557,11881017719.18401,4.352071599488806,206.60945287370225,,,
UGC02885,251646659751.4687,11.673144302569463,3542.3903752509423,52795155852.98618,0.5841493351464855,384.4349366604526
KK98-251,753899606.4108205,2.7638426038434196,7.074193740787516,,,
NGC5907,160218370207.19858,8.571744387560745,55.079007951769356,,,
UGC06917,7878049011.828095,4.44858883255161,202.17247829179618,,,
UGC04499,3451139005.7811384,3.8355553777239573,77.53629900368308,,,
NGC0289,57468604652.52459,3.374516728093527,5479.995257320474,,,
UGC06983,8642829075.178854,4.919649931414721,574.7510707344026,,,
UGC02487,358363136590.2593,10.953014611260068,262.2169403760492,63265110643.99864,0.4229389667318183,4.110708217044798
UGC09037,42318738030.09334,7.123512267581431,1176.1796799138137,,,
F571-8,2839279460.7437854,1.392288478038936,41.278602662031844,,,
NGC2998,109365344794.40784,5.71595290094339,1324.604376558763,,,
NGC0055,7260737164.691695,5.492508799805687,55.30003479342876,,,
NGC2683,53294156829.24827,3.0836405776783415,305.3233938889681,3671957257.4689403,0.0028927190195075225,0.00022173877905327986
UGC12632,5448390284.643289,7.633874437515855,106.28423290236964,,,
F563-V2,8008680665.403119,5.871757388086586,59.46628354874058,,,
NGC5585,3091113622.0083704,2.469417151243805,679.3601600819861,,,
NGC2976,7825709723.280181,2.4326834571064637,250.25730053442746,,,
NGC7814,18545268084.930653,3.6380624735069724,36.97685815597391,32973760303.28719,0.4909240766870993,102.38440158273474
UGC05716,3061992694.345522,5.419258555109334,114.80667037035755,,,
F583-1,12486041824.225533,12.918386800778395,255.8674321826613,,,
UGC11914,52322378467.202896,3.4673419429551986,852.9795771959689,42109246485.12908,0.9210700030066026,2663.02987636153
NGC0891,39661409251.66718,2.895893879289313,518.11224345787,11669041302.873026,0.17722768114327903,46.41883092909656
DDO170,3130747847.1316366,6.085514014298085,8.378620990155717,,,
F568-V1,6672211365.59482,6.49105494896335,278.9979324936644,,,
ESO079-G014,51015344993.505615,9.228077875066989,1333.649009406063,,,
UGC06787,59651430632.23943,5.053281979393667,1143.2455885391796,12997002128.102886,0.6332410926386159,1783.948348830084
D631-7,598453781.4924276,1.7282813703633302,1.4788617044569494,,,
NGC2955,123421524696.64369,8.117509797889104,1157.2377944810771,85678503431.20764,2.1986360719633713,5258.769538063653
UGC03580,12153094728.873045,2.5073819975148806,990.1625064569758,1445088362.8234754,0.5784471089679447,651.9128380530453
NGC4100,49229335187.86892,4.688781377090286,1709.3318377376536,,,
UGC06786,36972995251.312035,5.238462361353346,1059.2681957205339,15839253965.57405,0.6706879892875378,1980.68792914109
UGC00128,26392234088.359634,14.670124358381567,615.9440802970993,,,
UGC00731,23021950361.932686,16.51961580430483,30.96235258523905,,,
UGC07608,2013403589.735487,4.803228997083668,16.432770604564027,,,
UGC05750,11514275664.563932,11.477531334046665,48.51622517585529,,,
UGCA442,756916407.0405372,2.343004378239516,12.680549284220506,,,
UGC04278,5423408369.629408,6.191907411304896,830.2040294421699,,,
UGC07151,3281967680.4497843,2.21387344072622,106.34091100127587,,,
NGC3972,15644944527.370405,4.641548244615607,241.6622131450792,,,
F568-1,19321354586.192543,10.414173378361536,299.08627281775017,,,
NGC7793,6171676794.905984,1.7112464141430217,2204.1767836001914,,,
NGC3877,48047462595.04108,6.207953693220077,1716.5750514641697,,,
NGC6674,244169252971.5846,7.60657626857201,142.62389498201145,13673033816.947542,0.011283898307747899,0.008254479646417557
NGC6015,33636586016.408775,3.875742255823613,1236.8686384126681,,,
UGC12732,8603523587.907267,9.126137986676211,418.3931354055675,,,
DDO168,674248736.5180465,1.612497413025908,17.75286647134131,,,
NGC2903,32993812347.86924,1.913237706883261,8225.90855652959,,,
DDO064,1502174036.3389213,3.142350260324145,12.853769952989094,,,
UGC05986,5273616659.858118,2.965249653058312,86.67010148776,,,
UGC06399,3991878210.2836547,4.344825432489771,18.144358328575024,,,
UGC09133,181490770314.21747,6.682187799685549,2742.8862518749993,51252229348.08024,1.15708550285868,5723.214983083549
NGC0024,4784571044.620816,1.9379632983771633,118.19234615232384,,,
UGC08550,579068172.7593038,1.4511414028213245,67.10854603992384,,,
UGC02953,156941824165.23734,4.730319640196553,3394.7638552024914,24448638354.480156,0.7159600039513654,13414.927499892738
